"Norm_Ux","Points:0","Points:1","Points:2"
0.95506,0.00015,3.09e-05,3.09e-07
0.94805,0.00015,3.1e-05,3.1e-07
0.93987,0.00015,3.11e-05,3.11e-07
0.93169,0.00015,3.12e-05,3.12e-07
0.92351,0.00015,3.13e-05,3.13e-07
0.91533,0.00015,3.14e-05,3.14e-07
0.90715,0.00015,3.15e-05,3.15e-07
0.89897,0.00015,3.16e-05,3.16e-07
0.89079,0.00015,3.17e-05,3.17e-07
0.88261,0.00015,3.18e-05,3.18e-07
0.87443,0.00015,3.19e-05,3.19e-07
0.86625,0.00015,3.2e-05,3.2e-07
0.85678,0.00015,3.21e-05,3.21e-07
0.8473,0.00015,3.22e-05,3.22e-07
0.83783,0.00015,3.23e-05,3.23e-07
0.82836,0.00015,3.24e-05,3.24e-07
0.81888,0.00015,3.25e-05,3.25e-07
0.80941,0.00015,3.26e-05,3.26e-07
0.79994,0.00015,3.27e-05,3.27e-07
0.79047,0.00015,3.28e-05,3.28e-07
0.78099,0.00015,3.29e-05,3.29e-07
0.77152,0.00015,3.3e-05,3.3e-07
0.76063,0.00015,3.31e-05,3.31e-07
0.74974,0.00015,3.32e-05,3.32e-07
0.73885,0.00015,3.33e-05,3.33e-07
0.72795,0.00015,3.34e-05,3.34e-07
0.71706,0.00015,3.35e-05,3.35e-07
0.70617,0.00015,3.36e-05,3.36e-07
0.69528,0.00015,3.37e-05,3.37e-07
0.68438,0.00015,3.38e-05,3.38e-07
0.67349,0.00015,3.39e-05,3.39e-07
0.6626,0.00015,3.4e-05,3.4e-07
0.65019,0.00015,3.41e-05,3.41e-07
0.63778,0.00015,3.42e-05,3.42e-07
0.62536,0.00015,3.43e-05,3.43e-07
0.61295,0.00015,3.44e-05,3.44e-07
0.60054,0.00015,3.45e-05,3.45e-07
0.58813,0.00015,3.46e-05,3.46e-07
0.57572,0.00015,3.47e-05,3.47e-07
0.56331,0.00015,3.48e-05,3.48e-07
0.5509,0.00015,3.49e-05,3.49e-07
0.53848,0.00015,3.5e-05,3.5e-07
0.52454,0.00015,3.51e-05,3.51e-07
0.51059,0.00015,3.52e-05,3.52e-07
0.49664,0.00015,3.53e-05,3.53e-07
0.4827,0.00015,3.54e-05,3.54e-07
0.46875,0.00015,3.55e-05,3.55e-07
0.4548,0.00015,3.56e-05,3.56e-07
0.44086,0.00015,3.57e-05,3.57e-07
0.42691,0.00015,3.58e-05,3.58e-07
0.41297,0.00015,3.59e-05,3.59e-07
0.39902,0.00015,3.6e-05,3.6e-07
0.38369,0.00015,3.61e-05,3.61e-07
0.36836,0.00015,3.62e-05,3.62e-07
0.35302,0.00015,3.63e-05,3.63e-07
0.33769,0.00015,3.64e-05,3.64e-07
0.32236,0.00015,3.65e-05,3.65e-07
