"Norm_Ux","Points:0","Points:1","Points:2"
0.96764,0.0002202,5e-05,3.67e-07
0.96918,0.0002208,5e-05,3.68e-07
0.97065,0.0002214,5e-05,3.69e-07
0.97208,0.000222,5e-05,3.7e-07
0.97342,0.0002226,5e-05,3.71e-07
0.97472,0.0002232,5e-05,3.72e-07
0.97596,0.0002238,5e-05,3.73e-07
0.97714,0.0002244,5e-05,3.74e-07
0.9783,0.000225,5e-05,3.75e-07
0.97937,0.0002256,5e-05,3.76e-07
0.98041,0.0002262,5e-05,3.77e-07
0.98141,0.0002268,5e-05,3.78e-07
0.98236,0.0002274,5e-05,3.79e-07
0.98328,0.000228,5e-05,3.8e-07
0.98413,0.0002286,5e-05,3.81e-07
0.98497,0.0002292,5e-05,3.82e-07
0.98576,0.0002298,5e-05,3.83e-07
0.98651,0.0002304,5e-05,3.84e-07
0.98725,0.000231,5e-05,3.85e-07
0.98792,0.0002316,5e-05,3.86e-07
0.98859,0.0002322,5e-05,3.87e-07
0.98921,0.0002328,5e-05,3.88e-07
0.98981,0.0002334,5e-05,3.89e-07
0.99038,0.000234,5e-05,3.9e-07
0.99092,0.0002346,5e-05,3.91e-07
0.99144,0.0002352,5e-05,3.92e-07
0.99193,0.0002358,5e-05,3.93e-07
0.99239,0.0002364,5e-05,3.94e-07
0.99285,0.000237,5e-05,3.95e-07
0.99326,0.0002376,5e-05,3.96e-07
0.99367,0.0002382,5e-05,3.97e-07
0.99405,0.0002388,5e-05,3.98e-07
0.99441,0.0002394,5e-05,3.99e-07
0.99476,0.00024,5e-05,4e-07
0.99508,0.0002406,5e-05,4.01e-07
0.9954,0.0002412,5e-05,4.02e-07
0.99569,0.0002418,5e-05,4.03e-07
0.99597,0.0002424,5e-05,4.04e-07
0.99624,0.000243,5e-05,4.05e-07
0.99648,0.0002436,5e-05,4.06e-07
0.99672,0.0002442,5e-05,4.07e-07
0.99695,0.0002448,5e-05,4.08e-07
0.99716,0.0002454,5e-05,4.09e-07
0.99736,0.000246,5e-05,4.1e-07
0.99755,0.0002466,5e-05,4.11e-07
0.99773,0.0002472,5e-05,4.12e-07
0.9979,0.0002478,5e-05,4.13e-07
0.99806,0.0002484,5e-05,4.14e-07
0.99821,0.000249,5e-05,4.15e-07
0.99835,0.0002496,5e-05,4.16e-07
0.99848,0.0002502,5e-05,4.17e-07
0.99861,0.0002508,5e-05,4.18e-07
0.99872,0.0002514,5e-05,4.19e-07
0.99884,0.000252,5e-05,4.2e-07
0.99894,0.0002526,5e-05,4.21e-07
0.99904,0.0002532,5e-05,4.22e-07
0.99913,0.0002538,5e-05,4.23e-07
0.99921,0.0002544,5e-05,4.24e-07
0.99929,0.000255,5e-05,4.25e-07
0.99937,0.0002556,5e-05,4.26e-07
0.99944,0.0002562,5e-05,4.27e-07
0.9995,0.0002568,5e-05,4.28e-07
0.99956,0.0002574,5e-05,4.29e-07
0.99962,0.000258,5e-05,4.3e-07
0.99967,0.0002586,5e-05,4.31e-07
0.99972,0.0002592,5e-05,4.32e-07
0.99976,0.0002598,5e-05,4.33e-07
0.9998,0.0002604,5e-05,4.34e-07
0.99984,0.000261,5e-05,4.35e-07
0.99988,0.0002616,5e-05,4.36e-07
0.99991,0.0002622,5e-05,4.37e-07
0.99994,0.0002628,5e-05,4.38e-07
0.99997,0.0002634,5e-05,4.39e-07
0.99999,0.000264,5e-05,4.4e-07
1,0.0002646,5e-05,4.41e-07
1,0.0002652,5e-05,4.42e-07
1.0001,0.0002658,5e-05,4.43e-07
1.0001,0.0002664,5e-05,4.44e-07
1.0001,0.000267,5e-05,4.45e-07
1.0001,0.0002676,5e-05,4.46e-07
1.0001,0.0002682,5e-05,4.47e-07
1.0001,0.0002688,5e-05,4.48e-07
1.0001,0.0002694,5e-05,4.49e-07
1.0001,0.00027,5e-05,4.5e-07
1.0001,0.0002706,5e-05,4.51e-07
1.0001,0.0002712,5e-05,4.52e-07
1.0001,0.0002718,5e-05,4.53e-07
1.0001,0.0002724,5e-05,4.54e-07
1.0001,0.000273,5e-05,4.55e-07
1.0002,0.0002736,5e-05,4.56e-07
1.0002,0.0002742,5e-05,4.57e-07
1.0002,0.0002748,5e-05,4.58e-07
1.0001,0.0002754,5e-05,4.59e-07
1.0001,0.000276,5e-05,4.6e-07
1.0001,0.0002766,5e-05,4.61e-07
1.0001,0.0002772,5e-05,4.62e-07
1.0001,0.0002778,5e-05,4.63e-07
1.0001,0.0002784,5e-05,4.64e-07
1.0001,0.000279,5e-05,4.65e-07
1.0001,0.0002796,5e-05,4.66e-07
1.0001,0.0002802,5e-05,4.67e-07
1.0001,0.0002808,5e-05,4.68e-07
1.0001,0.0002814,5e-05,4.69e-07
1.0001,0.000282,5e-05,4.7e-07
1.0001,0.0002826,5e-05,4.71e-07
1.0001,0.0002832,5e-05,4.72e-07
1.0001,0.0002838,5e-05,4.73e-07
1.0001,0.0002844,5e-05,4.74e-07
1.0001,0.000285,5e-05,4.75e-07
1.0001,0.0002856,5e-05,4.76e-07
1.0001,0.0002862,5e-05,4.77e-07
1.0001,0.0002868,5e-05,4.78e-07
1.0001,0.0002874,5e-05,4.79e-07
1,0.000288,5e-05,4.8e-07
1,0.0002886,5e-05,4.81e-07
1,0.0002892,5e-05,4.82e-07
1,0.0002898,5e-05,4.83e-07
1,0.0002904,5e-05,4.84e-07
1,0.000291,5e-05,4.85e-07
1,0.0002916,5e-05,4.86e-07
1,0.0002922,5e-05,4.87e-07
1,0.0002928,5e-05,4.88e-07
0.99999,0.0002934,5e-05,4.89e-07
0.99998,0.000294,5e-05,4.9e-07
0.99998,0.0002946,5e-05,4.91e-07
0.99997,0.0002952,5e-05,4.92e-07
0.99996,0.0002958,5e-05,4.93e-07
0.99996,0.0002964,5e-05,4.94e-07
0.99995,0.000297,5e-05,4.95e-07
0.99995,0.0002976,5e-05,4.96e-07
0.99994,0.0002982,5e-05,4.97e-07
0.99994,0.0002988,5e-05,4.98e-07
0.99993,0.0002994,5e-05,4.99e-07
0.99993,0.0003,5e-05,5e-07
0.99992,0.0003006,5e-05,5.01e-07
0.99992,0.0003012,5e-05,5.02e-07
0.99991,0.0003018,5e-05,5.03e-07
0.99991,0.0003024,5e-05,5.04e-07
0.9999,0.000303,5e-05,5.05e-07
0.9999,0.0003036,5e-05,5.06e-07
0.99989,0.0003042,5e-05,5.07e-07
0.99989,0.0003048,5e-05,5.08e-07
0.99988,0.0003054,5e-05,5.09e-07
0.99988,0.000306,5e-05,5.1e-07
0.99987,0.0003066,5e-05,5.11e-07
0.99987,0.0003072,5e-05,5.12e-07
0.99987,0.0003078,5e-05,5.13e-07
0.99986,0.0003084,5e-05,5.14e-07
0.99986,0.000309,5e-05,5.15e-07
0.99985,0.0003096,5e-05,5.16e-07
0.99985,0.0003102,5e-05,5.17e-07
0.99985,0.0003108,5e-05,5.18e-07
0.99984,0.0003114,5e-05,5.19e-07
0.99984,0.000312,5e-05,5.2e-07
0.99984,0.0003126,5e-05,5.21e-07
0.99983,0.0003132,5e-05,5.22e-07
0.99983,0.0003138,5e-05,5.23e-07
0.99983,0.0003144,5e-05,5.24e-07
0.99983,0.000315,5e-05,5.25e-07
0.99982,0.0003156,5e-05,5.26e-07
0.99982,0.0003162,5e-05,5.27e-07
0.99982,0.0003168,5e-05,5.28e-07
0.99982,0.0003174,5e-05,5.29e-07
0.99981,0.000318,5e-05,5.3e-07
0.99981,0.0003186,5e-05,5.31e-07
0.99981,0.0003192,5e-05,5.32e-07
0.99981,0.0003198,5e-05,5.33e-07
0.9998,0.0003204,5e-05,5.34e-07
0.9998,0.000321,5e-05,5.35e-07
0.9998,0.0003216,5e-05,5.36e-07
0.9998,0.0003222,5e-05,5.37e-07
0.9998,0.0003228,5e-05,5.38e-07
0.99979,0.0003234,5e-05,5.39e-07
0.99979,0.000324,5e-05,5.4e-07
0.99979,0.0003246,5e-05,5.41e-07
0.99979,0.0003252,5e-05,5.42e-07
0.99979,0.0003258,5e-05,5.43e-07
0.99979,0.0003264,5e-05,5.44e-07
0.99978,0.000327,5e-05,5.45e-07
0.99978,0.0003276,5e-05,5.46e-07
0.99978,0.0003282,5e-05,5.47e-07
0.99978,0.0003288,5e-05,5.48e-07
0.99978,0.0003294,5e-05,5.49e-07
0.99978,0.00033,5e-05,5.5e-07
0.99978,0.0003306,5e-05,5.51e-07
0.99977,0.0003312,5e-05,5.52e-07
0.99977,0.0003318,5e-05,5.53e-07
0.99977,0.0003324,5e-05,5.54e-07
0.99977,0.000333,5e-05,5.55e-07
0.99977,0.0003336,5e-05,5.56e-07
0.99977,0.0003342,5e-05,5.57e-07
0.99977,0.0003348,5e-05,5.58e-07
0.99977,0.0003354,5e-05,5.59e-07
0.99977,0.000336,5e-05,5.6e-07
0.99976,0.0003366,5e-05,5.61e-07
0.99976,0.0003372,5e-05,5.62e-07
0.99976,0.0003378,5e-05,5.63e-07
0.99976,0.0003384,5e-05,5.64e-07
0.99976,0.000339,5e-05,5.65e-07
0.99976,0.0003396,5e-05,5.66e-07
0.99976,0.0003402,5e-05,5.67e-07
0.99976,0.0003408,5e-05,5.68e-07
0.99976,0.0003414,5e-05,5.69e-07
0.99976,0.000342,5e-05,5.7e-07
0.99976,0.0003426,5e-05,5.71e-07
0.99976,0.0003432,5e-05,5.72e-07
0.99976,0.0003438,5e-05,5.73e-07
0.99975,0.0003444,5e-05,5.74e-07
0.99975,0.000345,5e-05,5.75e-07
0.99975,0.0003456,5e-05,5.76e-07
0.99975,0.0003462,5e-05,5.77e-07
0.99975,0.0003468,5e-05,5.78e-07
0.99975,0.0003474,5e-05,5.79e-07
0.99975,0.000348,5e-05,5.8e-07
0.99975,0.0003486,5e-05,5.81e-07
0.99975,0.0003492,5e-05,5.82e-07
0.99975,0.0003498,5e-05,5.83e-07
0.99975,0.0003504,5e-05,5.84e-07
0.99975,0.000351,5e-05,5.85e-07
0.99975,0.0003516,5e-05,5.86e-07
0.99975,0.0003522,5e-05,5.87e-07
0.99975,0.0003528,5e-05,5.88e-07
0.99975,0.0003534,5e-05,5.89e-07
0.99975,0.000354,5e-05,5.9e-07
0.99975,0.0003546,5e-05,5.91e-07
0.99975,0.0003552,5e-05,5.92e-07
0.99975,0.0003558,5e-05,5.93e-07
0.99975,0.0003564,5e-05,5.94e-07
0.99975,0.000357,5e-05,5.95e-07
0.99974,0.0003576,5e-05,5.96e-07
0.99974,0.0003582,5e-05,5.97e-07
0.99974,0.0003588,5e-05,5.98e-07
0.99974,0.0003594,5e-05,5.99e-07
0.99974,0.00036,5e-05,6e-07
