# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
24.45           	p               	-6.51438935e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.65423174e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.45           	U               	(4.08610784e-01 -1.29200461e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23211659e+00 3.29609126e+00 9.17866895e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.5            	p               	-6.51215165e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.65624854e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.5            	U               	(4.08616524e-01 -1.29619362e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23208318e+00 3.29604064e+00 9.17379946e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.55           	p               	-6.50989406e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.65829438e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.55           	U               	(4.08622223e-01 -1.30031706e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23205090e+00 3.29599191e+00 9.16887770e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.6            	p               	-6.50754032e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.66044481e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.6            	U               	(4.08627882e-01 -1.30438799e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23201974e+00 3.29594503e+00 9.16373120e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.65           	p               	-6.50500011e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.66283340e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.65           	U               	(4.08633503e-01 -1.30841028e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23198976e+00 3.29590006e+00 9.15815705e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.7            	p               	-6.50289913e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.66467405e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.7            	U               	(4.08639086e-01 -1.31238117e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23196069e+00 3.29585667e+00 9.15356616e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.75           	p               	-6.50057915e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.66684722e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.75           	U               	(4.08644631e-01 -1.31631250e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23193278e+00 3.29581511e+00 9.14847746e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.8            	p               	-6.49847124e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.66878979e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.8            	U               	(4.08650139e-01 -1.32020564e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23190594e+00 3.29577527e+00 9.14386118e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.85           	p               	-6.49637054e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.67072846e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.85           	U               	(4.08655611e-01 -1.32406452e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23188014e+00 3.29573711e+00 9.13925483e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.9            	p               	-6.49425629e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.67268881e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.9            	U               	(4.08661048e-01 -1.32789340e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23185538e+00 3.29570060e+00 9.13461147e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
24.95           	p               	-6.49212648e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.67467388e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
24.95           	U               	(4.08666447e-01 -1.33167922e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23183164e+00 3.29566571e+00 9.12992694e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25              	p               	-6.48997617e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.67668669e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25              	U               	(4.08671812e-01 -1.33543218e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23180890e+00 3.29563239e+00 9.12519005e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.05           	p               	-6.48781673e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.67871629e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.05           	U               	(4.08677141e-01 -1.33915733e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23178717e+00 3.29560062e+00 9.12042671e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.1            	p               	-6.48559305e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.68081730e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.1            	U               	(4.08682435e-01 -1.34284229e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23176641e+00 3.29557038e+00 9.11551220e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.15           	p               	-6.48329105e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.68300538e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.15           	U               	(4.08687695e-01 -1.34650642e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23174663e+00 3.29554163e+00 9.11041490e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.2            	p               	-6.48085800e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.68532957e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.2            	U               	(4.08692923e-01 -1.35015107e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23172780e+00 3.29551433e+00 9.10501514e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.25           	p               	-6.47862011e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.68746272e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.25           	U               	(4.08698117e-01 -1.35377857e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23170992e+00 3.29548846e+00 9.10005200e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.3            	p               	-6.47641649e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.68957559e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.3            	U               	(4.08703279e-01 -1.35739334e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23169297e+00 3.29546399e+00 9.09516157e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.35           	p               	-6.47421953e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.69168412e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.35           	U               	(4.08708409e-01 -1.36099642e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23167693e+00 3.29544090e+00 9.09028098e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.4            	p               	-6.47202616e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.69379585e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.4            	U               	(4.08713508e-01 -1.36458902e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23166179e+00 3.29541915e+00 9.08540360e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.45           	p               	-6.46982112e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.69593370e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.45           	U               	(4.08718574e-01 -1.36817206e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23164755e+00 3.29539872e+00 9.08049512e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.5            	p               	-6.46762725e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.69805853e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.5            	U               	(4.08723610e-01 -1.37174615e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23163420e+00 3.29537958e+00 9.07560708e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.55           	p               	-6.46544819e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.70017456e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.55           	U               	(4.08728613e-01 -1.37531232e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23162170e+00 3.29536172e+00 9.07074800e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.6            	p               	-6.46327388e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.70229336e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.6            	U               	(4.08733586e-01 -1.37887112e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23161007e+00 3.29534510e+00 9.06589507e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.65           	p               	-6.46110841e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.70440894e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.65           	U               	(4.08738528e-01 -1.38242336e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23159926e+00 3.29532970e+00 9.06105766e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.7            	p               	-6.45905949e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.70641783e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.7            	U               	(4.08743439e-01 -1.38596912e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23158930e+00 3.29531550e+00 9.05647995e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.75           	p               	-6.45690328e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.70850214e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.75           	U               	(4.08748318e-01 -1.38950503e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23158012e+00 3.29530246e+00 9.05165465e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.8            	p               	-6.45429961e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.71111785e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.8            	U               	(4.08753167e-01 -1.39303934e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23157181e+00 3.29529064e+00 9.04581278e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.85           	p               	-6.45205358e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.71332222e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.85           	U               	(4.08757986e-01 -1.39656400e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23156426e+00 3.29527991e+00 9.04077535e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.9            	p               	-6.44994011e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.71538878e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.9            	U               	(4.08762773e-01 -1.40008500e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23155752e+00 3.29527031e+00 9.03603515e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
25.95           	p               	-6.44764590e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.71770283e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
25.95           	U               	(4.08767531e-01 -1.40360159e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23155145e+00 3.29526171e+00 9.03088037e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26              	p               	-6.44537361e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.71994667e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26              	U               	(4.08772257e-01 -1.40711081e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23154606e+00 3.29525408e+00 9.02577134e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.05           	p               	-6.44315815e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72215855e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.05           	U               	(4.08776954e-01 -1.41061838e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23154152e+00 3.29524760e+00 9.02079053e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.1            	p               	-6.44123650e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72409586e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.1            	U               	(4.08781620e-01 -1.41411873e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153777e+00 3.29524218e+00 9.01647037e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.15           	p               	-6.43902945e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72626759e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.15           	U               	(4.08786256e-01 -1.41761337e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153449e+00 3.29523751e+00 9.01149593e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.2            	p               	-6.43704572e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72830108e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.2            	U               	(4.08790861e-01 -1.42110337e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153214e+00 3.29523401e+00 9.00703062e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.25           	p               	-6.43487606e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73043761e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.25           	U               	(4.08795437e-01 -1.42458770e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153031e+00 3.29523131e+00 9.00213511e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.3            	p               	-6.43291352e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73245515e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.3            	U               	(4.08799982e-01 -1.42806774e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23152925e+00 3.29522962e+00 8.99770944e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.35           	p               	-6.43077184e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73456443e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.35           	U               	(4.08804497e-01 -1.43154103e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23152858e+00 3.29522854e+00 8.99286941e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.4            	p               	-6.42885473e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73654331e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.4            	U               	(4.08808982e-01 -1.43501132e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23152884e+00 3.29522860e+00 8.98854324e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.45           	p               	-6.42683414e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73859147e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.45           	U               	(4.08813437e-01 -1.43847477e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23152958e+00 3.29522937e+00 8.98397314e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.5            	p               	-6.42485143e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74058660e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.5            	U               	(4.08817862e-01 -1.44193243e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153107e+00 3.29523109e+00 8.97948989e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.55           	p               	-6.42291927e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74256021e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.55           	U               	(4.08822256e-01 -1.44537938e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153314e+00 3.29523360e+00 8.97511588e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.6            	p               	-6.42099993e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74451943e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.6            	U               	(4.08826620e-01 -1.44881557e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153584e+00 3.29523692e+00 8.97076885e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.65           	p               	-6.41909931e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74646325e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.65           	U               	(4.08830954e-01 -1.45224119e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23153915e+00 3.29524103e+00 8.96646145e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.7            	p               	-6.41718799e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74840284e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.7            	U               	(4.08835257e-01 -1.45565452e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23154296e+00 3.29524584e+00 8.96212564e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.75           	p               	-6.41532745e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75033018e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.75           	U               	(4.08839530e-01 -1.45905927e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23154745e+00 3.29525148e+00 8.95790467e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.8            	p               	-6.41355472e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75217419e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.8            	U               	(4.08843774e-01 -1.46245627e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23155264e+00 3.29525800e+00 8.95388103e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.85           	p               	-6.41173421e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75403854e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.85           	U               	(4.08847987e-01 -1.46584194e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23155830e+00 3.29526515e+00 8.94974272e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.9            	p               	-6.40984597e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75596564e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.9            	U               	(4.08852170e-01 -1.46921586e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23156439e+00 3.29527288e+00 8.94544833e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
26.95           	p               	-6.40812430e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75778041e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
26.95           	U               	(4.08856324e-01 -1.47258462e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23157125e+00 3.29528152e+00 8.94153437e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27              	p               	-6.40633994e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.75960053e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27              	U               	(4.08860447e-01 -1.47593942e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23157842e+00 3.29529061e+00 8.93746892e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.05           	p               	-6.40472445e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.76129425e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.05           	U               	(4.08864541e-01 -1.47928715e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23158623e+00 3.29530046e+00 8.93378908e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.1            	p               	-6.40303967e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.76305224e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.1            	U               	(4.08868605e-01 -1.48262601e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23159456e+00 3.29531095e+00 8.92994833e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.15           	p               	-6.40134987e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.76481537e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.15           	U               	(4.08872639e-01 -1.48595547e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23160339e+00 3.29532205e+00 8.92609402e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.2            	p               	-6.39966187e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.76657835e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.2            	U               	(4.08876644e-01 -1.48927619e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23161272e+00 3.29533375e+00 8.92224179e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.25           	p               	-6.39798889e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.76832921e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.25           	U               	(4.08880619e-01 -1.49258780e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23162254e+00 3.29534603e+00 8.91842159e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.3            	p               	-6.39633075e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77008895e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.3            	U               	(4.08884565e-01 -1.49589390e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23163296e+00 3.29535899e+00 8.91463482e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.35           	p               	-6.39463860e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77184791e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.35           	U               	(4.08888481e-01 -1.49918821e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23164373e+00 3.29537239e+00 8.91076572e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.4            	p               	-6.39298195e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77358731e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.4            	U               	(4.08892367e-01 -1.50247363e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23165497e+00 3.29538632e+00 8.90697691e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.45           	p               	-6.39135069e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77528128e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.45           	U               	(4.08896224e-01 -1.50574663e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23166652e+00 3.29540062e+00 8.90324195e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.5            	p               	-6.38978199e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77694806e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.5            	U               	(4.08900051e-01 -1.50901403e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23167861e+00 3.29541550e+00 8.89965048e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.55           	p               	-6.38820514e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.77861126e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.55           	U               	(4.08903848e-01 -1.51227202e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23169110e+00 3.29543081e+00 8.89603723e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.6            	p               	-6.38663496e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.78026932e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.6            	U               	(4.08907616e-01 -1.51552153e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23170401e+00 3.29544657e+00 8.89243805e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.65           	p               	-6.38507987e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.78191401e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.65           	U               	(4.08911354e-01 -1.51876170e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23171734e+00 3.29546275e+00 8.88887156e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
27.7            	p               	-6.38354042e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.78354261e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
27.7            	U               	(4.08915063e-01 -1.52199193e-04 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.23173105e+00 3.29547933e+00 8.88533903e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
